cnt10min
155
126
151
154
125
150
137
142
158
148
152
138
156
126
181
65
49
47
75
99
166
144
159
137
158
175
145
156
123
157
155
189
150
168
127
189
146
170
151
161
152
142
182
170
151
198
140
150
159
132
153
122
157
181
155
147
229
182
253
177
205
196
193
181
182
167
190
172
195
179
190
169
197
185
192
200
190
204
177
180
218
198
172
174
167
217
216
187
156
199
182
170
187
179
175
182
194
168
195
169
159
198
166
61
1
